"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_CONRAD";"OC_CONRAD_ADD";"OC_DIGIKEY";"OC_FARNELL";"OC_MOUSER";"OC_MOUSER_ADD";"OC_MOUSER_ADD2";"OC_MOUSER_ALT";"OC_NEWARK";"OC_RS";"OC_RS_ADD";"PROD_ID";"VALUE";
"1";"";"DAC70501";"VSSOP10";"IC1";"";"";"";"";"";"";"";"595-DAC70501ZDGS";"";"";"";"";"";"";"";"";
"1";"";"HSCR201-50";"CR201-50";"HS1";"";"";"";"";"";"";"";"588-CR201-50VE";"";"";"";"";"";"";"";"";
"1";"";"JST-PH-2.0-2P";"JST-PH-2.0-2P";"FAN";"PIN HEADER";"";"";"";"";"455-1704-ND";"";"";"369-MF60251V21UA99";"";"";"";"";"";"";"";
"1";"";"KL2691311500002";"KL2-691311500002";"IN";"Printklemme 2-polig";"";"";"";"";"";"";"710-691311500002";"565-72912-2";"565-6883";"";"";"";"";"";"";
"1";"";"MA10-2";"MA10-2";"PANEL";"PIN HEADER";"";"";"";"";"";"unknown";"200-HTSW10907LMD";"";"";"";"unknown";"";"";"";"";
"1";"";"ML6";"ML6";"ISP";"HARTING";"";"";"";"";"";"unknown";"200-TSW10307TD";"";"";"";"unknown";"";"";"";"";
"1";"";"TS1B3F-10XX";"B3F-10XX";"RESET";"";"";"";"";"";"";"";"653-B3F-1022";"";"";"";"";"";"";"";"";
"1";"100R 1% 1/4W";"R-SMD0805";"C0805K";"R13";"R";"";"";"";"";"";"";"660-RK73H2ATTD75R0F";"";"";"";"";"";"";"";"";
"1";"100k 0.1% 25ppm 1/10W";"R-SMD0805";"C0805K";"R30";"R";"";"";"";"";"";"";"754-RG2012P-104-B-T5";"";"";"";"";"";"";"";"";
"9";"100n/16V";"CC/0805";"0805";"C1, C2, C4, C8, C9, C16, C17, C21, C48";"Kondensator";"";"";"";"";"";"";"810-C2012X7R2A104K";"";"";"";"";"";"";"";"";
"1";"100n/50V";"CC/0805";"0805";"C7";"Kondensator";"";"";"";"";"";"";"810-C2012X7R2A104K";"";"";"";"";"";"";"";"";
"1";"10k 5% 1/10W";"R-SMD0805";"C0805K";"R12";"R";"";"";"";"";"";"";"652-CR0805-JW-103ELF";"";"";"";"";"";"";"";"";
"2";"10n/16V";"CC/0805";"0805";"C47, C51";"Kondensator";"";"";"";"";"";"";"80-C0805C103K1R";"";"";"";"";"";"";"";"";
"1";"16MHz";"Q5X3.2MM-TXC-7A-SERIES";"Q-5X3.2MM-TXC-7A.SERIES";"Q1";"";"";"";"";"";"";"";"717-7A-16.000MAAJ-T";"";"";"";"";"";"";"";"";
"1";"1R 0.5% 4ppm 1W";"R-SHUNTVSR";"R-SHUNT-VSR";"R4";"";"";"";"";"";"";"";"71-VSRT1R0000DB";"";"";"";"";"";"";"";"";
"1";"1k 0.5% 50 ppm 1/10W";"R-SMD0805";"C0805K";"R1";"R";"";"";"";"";"";"";"754-RR1220P-102D";"";"";"";"";"";"";"";"";
"1";"1n/50V";"CC/0805";"0805";"C18";"Kondensator";"";"";"";"";"";"";"603-CC805KRX7R0BB102";"";"";"";"";"";"";"";"";
"1";"2200µ/25V";"C+5/12.5";"C+/5/12.5";"C3";"";"";"";"";"";"";"";"667-EEU-FS1E222";"";"";"";"";"";"";"";"";
"2";"22pF/50V C0G";"CC/0805";"0805";"C14, C15";"Kondensator";"";"";"";"";"";"";"603-CC805JRNPO9BN220";"";"";"";"";"";"";"";"";
"2";"2k2 1% 1/10W";"R-SMD0805";"C0805K";"R37, R41";"R";"";"";"";"";"";"";"652-CR0805FX-2201ELF";"";"";"";"";"";"";"";"";
"1";"3.9k 0.1% 25ppm 1/10W";"R-SMD0805";"C0805K";"R32";"R";"";"";"";"";"";"";"754-RG2012P-392-BT5";"";"";"";"";"";"";"";"";
"1";"330n/16V";"CC/0805";"0805";"C5";"Kondensator";"";"";"";"";"";"";"80-C0805C334K5RECTU";"";"";"";"";"";"";"";"";
"1";"330n/50V";"CC/0805";"0805";"C6";"Kondensator";"";"";"";"";"";"";"80-C0805C334K5RECTU";"";"";"";"";"";"";"";"";
"2";"4k7 1% 1/10W";"R-SMD0805";"C0805K";"R35, R40";"R";"";"";"";"";"";"";"652-CR0805FX-4701ELF";"";"";"";"";"";"";"";"";
"1";"630 mA/T";"F5X20";"F5X20";"F4";"Sicherung";"";"";"";"";"";"";"693-0751.0110";"";"";"";"";"";"";"";"";
"1";"7805TV";"7805TV";"TO220V";"IC4";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"511-L7805CV";"";"";"";"";"";"";"";"";
"1";"ADS1015";"ADS1015";"MSOP10_OLD";"IC18";"ADS1015 12-BIT ADC";"";"";"";"";"";"";"595-ADS1115IDGSR";"";"";"";"";"";"";"IC-12270";"ADS1015";
"1";"ATMEGA328P-PU";"ATMEGA328P-PU";"DIL28";"IC2";"ATMEGA328P-PUArduino UNO R3";"";"";"";"";"";"";"556-ATMEGA328P-PU";"";"";"";"";"";"";"";"";
"2";"BC847ALT1G";"T-NPNSOT23-BEC";"SOT23-BEC";"T2, T11";"NPN Transistor";"";"";"";"";"";"";"863-BC847ALT1G";"";"";"";"";"";"";"";"";
"1";"CGRB307-G";"DWIDE";"DO214AA-CGRB307-G";"D8";"";"";"";"";"";"";"";"750-CGRB307-G";"";"";"";"";"";"";"";"";
"1";"D01S";"D01S";"D01S";"HS3";"HEATSINK";"";"";"";"";"";"";"532-576802B00";"";"";"";"";"";"";"";"";
"1";"DF04M";"BRDIL2";"BR-DIL2";"BR2";"";"";"";"";"";"";"";"621-DF04M";"";"";"512-DF04M";"";"";"";"";"";
"2";"FASTON4.8X0.8";"FASTON4.8X0.8";"FASTON-4.8X0.8";"L, N";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"736079";"1022092";"";"unknown";"";"";"";"";"unknown";"";"";"";"";
"1";"IRFP3710";"T-NMOSTO247";"TOP3AV";"T1";"Transistor N-Channel MOSFET";"";"";"";"";"";"";"942-IRFP3710PBF";"";"";"";"";"";"";"";"";
"6";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"H1, H2, H3, H4, H5, H6";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"MPZ2012S601AT000";"L0805";"C0805K";"L1, L5";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";"";"";"810-MPZ2012S601AT000";"";"";"";"";"";"";"";"";
"1";"PT 4.5/2/8";"PT4,5/2/..";"PT/4,5/2/..";"TR1";"TRANSFORMER";"";"";"";"";"";"";"";"";"";"";"";"201-8463";"546-5604";"";"";
"1";"QUAD-OPVOPA4197";"QUAD-OPVOPA4197";"SO14";"IC3";"";"";"";"";"";"";"";"595-OPA4197IDR";"";"";"";"";"";"";"";"";
