"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_MOUSER_ADD";"OC_NEWARK";"OC_RS";"SCREW";"VALUE";
"1";"";"MA10-2";"MA10-2";"MAINBOARD";"PIN HEADER";"";"";"unknown";"200-TSW10707FD";"";"unknown";"832-3516";"";"";
"4";"";"TS1B3F-10XX";"B3F-10XX";"TS1, TS2, TS3, TS4";"";"";"";"";"653-B3F-1022";"";"";"";"";"";
"1";"100n/16V";"CC/0805";"0805";"C2";"Kondensator";"";"";"";"810-C2012X7R2A104K";"";"";"";"";"";
"1";"100µ/50V";"C+3.5/8";"C+/3.5/8";"C1";"";"";"";"";"667-EEU-FR1H101";"";"";"";"";"";
"1";"10K";"TRIMPOT";"ADJR3-7.0X7.0X5.0MM";"R4";"301040009";"";"SX3362P";"";"652-3362P-1-103LF";"";"";"";"";"10K";
"1";"2.2k 1% 1/10W";"R-SMD0805";"C0805K";"R3";"R";"";"";"";"652-CR0805FX-2201ELF";"";"";"";"";"";
"1";"330R 5% 1/10W";"R-SMD0805";"C0805K";"R1";"R";"";"";"";"652-CR0805FX-3300ELF";"";"";"";"";"";
"1";"390R 1% 1/10W";"R-SMD0805";"C0805K";"R2";"R";"";"";"";"652-CR0805FX-3900ELF";"";"";"";"";"";
"1";"G";"LED0805";"LED0805";"LED2";"LED";"";"";"";"710-150080GS75000";"593-LFC025CTP";"";"";"";"";
"1";"LCD";"LCD";"DISPLAYTECH-204C";"LCD1";"";"";"";"";"992-LCD-20X4Y";"";"";"";"";"";
"6";"MOUNT-PAD-ROUND3.3";"MOUNT-PAD-ROUND3.3";"3,3-PAD";"H1, H2, H3, H4, H5, H6";"MOUNTING PAD, round";"";"";"";"";"";"";"";"M3x5";"";
"1";"Y";"LED0805";"LED0805";"LED1";"LED";"";"";"";"710-150080YS75000";"593-LFC025CTP";"";"";"";"";
