"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_CONRAD";"OC_CONRAD_ADD";"OC_DIGIKEY";"OC_FARNELL";"OC_MOUSER";"OC_MOUSER_ADD";"OC_MOUSER_ADD2";"OC_MOUSER_ALT";"OC_NEWARK";"OC_RS";"OC_RS_ADD";
"1";"";"HSCR201-50";"CR201-50";"HS1";"";"";"";"";"";"";"";"588-CR201-50VE";"588-CLA-TO-21E";"";"";"";"";"";
"1";"";"JST-PH-2.0-2P";"JST-PH-2.0-2P";"FAN";"PIN HEADER";"";"";"";"";"455-1704-ND";"";"";"369-MF60251V21UA99";"";"";"";"";"";
"1";"";"KL2691311500002";"KL2-691311500002";"IN";"Printklemme 2-polig";"";"";"";"";"";"";"710-691311500002";"565-72912-2";"565-6883";"";"";"";"";
"1";"";"MA10-2";"MA10-2";"PANEL";"PIN HEADER";"";"";"";"";"";"unknown";"200-HTSW10907LMD";"";"";"";"unknown";"";"";
"1";"";"ML6";"ML6";"ISP";"HARTING";"";"";"";"";"";"unknown";"200-TSW10307TD";"";"";"";"unknown";"";"";
"3";"";"TS1B3F-10XX";"B3F-10XX";"PRG-ESP, RST-AVR, RST-ESP";"";"";"";"";"";"";"";"653-B3F-1022";"";"";"";"";"";"";
"2";"";"USBUSB-B";"USB-B";"AVR, ESP";"";"";"";"";"";"";"";"";"";"";"";"";"674-1328";"";
"1";"100R 1% 1/4W";"R-SMD0805";"C0805K";"R13";"R";"";"";"";"";"";"";"660-RK73H2ATTD75R0F";"";"";"";"";"";"";
"1";"100k 0.1% 25ppm 1/10W";"R-SMD0805";"C0805K";"R30";"R";"";"";"";"";"";"";"754-RG2012P-104-B-T5";"";"";"";"";"";"";
"3";"100n/16V";"CAPACITOR-0805";"C0805";"C10, C12, C19";"Capacitors";"";"";"";"";"";"";"810-C2012X7R2A104K";"";"";"";"";"";"";
"16";"100n/16V";"CC/0805";"0805";"C1, C2, C4, C8, C9, C16, C17, C20, C21, C22, C23, C26, C28, C30, C31, C48";"Kondensator";"";"";"";"";"";"";"810-C2012X7R2A104K";"";"";"";"";"";"";
"1";"100n/50V";"CC/0805";"0805";"C7";"Kondensator";"";"";"";"";"";"";"810-C2012X7R2A104K";"";"";"";"";"";"";
"4";"10k 1/10W 5%";"R-SMD0805";"C0805K";"R7, R8, R9, R10";"R";"";"";"";"";"";"";"652-CR0805-JW-103ELF";"";"";"";"";"";"";
"11";"10k 5% 1/10W";"R-SMD0805";"C0805K";"R2, R3, R5, R6, R12, R14, R15, R18, R25, R26, R28";"R";"";"";"";"";"";"";"652-CR0805-JW-103ELF";"";"";"";"";"";"";
"2";"10n/16V";"CC/0805";"0805";"C47, C51";"Kondensator";"";"";"";"";"";"";"80-C0805C103K1R";"";"";"";"";"";"";
"4";"10µ/16V";"CAPACITOR-1210";"C1210";"C11, C13, C24, C29";"Capacitors";"";"";"";"";"";"";"963-UMK316BBJ106KL-T";"";"";"";"";"";"";
